phrasal	meaning	significado	phrase	frase	position
shake up	Reorganize, to make reforms in	Reorganizar, fazer reformas em			5878
shape up	Develop in a positive way.	Desenvolver de uma maneira positiva.	Things are shaping up at work-everything's going well again.	Despeje os ingredientes em um recipiente e agite-os.	5879
shape up	Improve to reach an acceptable standard.	Melhorar para atingir um padrão aceitável.	If they don't start shaping up, they're going to lose their jobs.	As coisas estão se moldando no trabalho - tudo está indo bem novamente.	5880
shave off	Shave completely.	Barbear completamente.	He has shaved off his moustache and looks much younger.	Ele raspou seu bigode e parece muito mais jovem.	5881
shave off	Reduce by a small amount.	Reduzir uma pequena quantidade indicada.	He shaved a few thousand off the budget for the year.	Ele raspou alguns milhares do orçamento para o ano.	5882
shell out	Spend money on something, especially when you think it's too expensive.	Gastar dinheiro em algo, especialmente quando você acha que é muito caro.	I had to shell out a hundred pounds on the dinner.	tive que desembolsar cem libras no jantar.	5883
ship off	Send someone away, often because of a problem.	Enviar alguém para longe, muitas vezes por causa de um problema.	He was causing a lot of trouble, so they shipped him off to another branch.	Ele estava causando muitos problemas, então eles o enviaram para outro ramo.	5884
ship out	Send goods to a place.	Enviar mercadorias para um lugar.	We shipped the order out two days ago.	Nós enviamos o pedido para fora há dois dias.	5885
ship out	Leave a place.	Deixar um lugar, Sair de um lugar.	If you've finished your work, I'm ready to ship out.	Se você terminou seu trabalho, estou pronto para enviar.	5886
shoot away	Leave somewhere quickly.	Deixar algum lugar rapidamente.	He shot away as soon as the bell rang for the end of the lesson.	Ele se afastou assim que o sino tocou para o final da lição.	5887
shoot back	Return quickly.	Retornar rapidamente.	I'm shooting back home to pick up some things I forgot to bring with me.	Ele se afastou assim que o sino tocou para o final da lição.	5888
shoot for	Have as a goal.	Ter como objetivo.	I'm shooting for nothing less than the presidency.	Estou atirando por nada menos que a presidência.	5889
shoot off	Leave promptly and quickly.	Sair prontamente e rapidamente.	I'll have to shoot off as soon as the lesson finishes, otherwise I'll miss my train.	Vou ter que atirar assim que a lição terminar, caso contrário, perderei meu trem.	5890
shoot out	Go out for a short time.	Sair por um curto período de tempo.	I'm shooting out to the shops for a paper.	Estou atirando para as lojas para um papel.	5891
shoot up	Increase quickly.	Aumentar rapidamente.	The share prices of internet companies have been shooting up lately.	Os preços das ações das empresas da Internet têm atirado ultimamente.	5892
shoot up	Take illicit drugs intravenously..	Tomar drogas ilícitas por via intravenosa.	The heroin-user would shoot up in shop doorways.	O usuário de heroína dispararia em portas da loja.	5893
shoot up	Damage with gun-shots.	Dano com tiros de arma.	The gangsters shot up the pub.	Os gangsters dispararam o pub.	5894
shoot up	Increase quickly, grow.	Aumentar rapidamente, crescer.	Johnny has shot up since I last saw him.	Johnny disparou desde a última vez que a vi.	5895
shop around	compare prices	comparar preços	I want to shop around a little before I decide on these boots.	Quero fazer compras um pouco antes de decidir sobre essas botas.	5896
shop around	compare prices		I want to shop around a little before I decide on these boots.	Quero fazer compras um pouco antes de decidir sobre essas botas.	5897
shop around	Look around for the best price, quality, etc..	Olhar ao redor pelo melhor preço, qualidade, etc.	If you shop around, you can find some real bargains for air tickets.	Se você comprar por aí, você pode encontrar algumas pechinchas reais para passagens aéreas.	5898
shop around	Compare prices before buying	Comparar preços antes de comprar			5899
short out	Short circuit.	Curto circuito.	The battery shorted out when it got wet.	A bateria em curto quando se molhou.	5900
shout down	Make so much noise to stop someone being heard.	Fazer muito barulho para parar alguém sendo ouvido.	His efforts to raise the issue were shouted down.	Seus esforços para aumentar a questão foram gritados.	5901
shout out	Say something loudly, often to attract someone's attention.	Dizer algo em voz alta, muitas vezes atrair a atenção de alguém.	She shouted out my name.	Ela gritou meu nome.	5902
show around	Take someone to a place to show them certain parts.	Tomar alguém para mostrar certos lugares.	The estate agent showed us around the house but we didn't like it much.	O agente imobiliário nos mostrou ao redor da casa, mas nós não gostamos muito.	5903
show in	Take someone into an office or other room.	Levar alguém a um escritório ou outro quarto.	The secretary showed me in to speak to the manager.	A secretária me mostrou para falar com o gerente.	5904
show in	Lead or direct someone to an enclosed space, usually a room	Conduzir ou direcionar alguém para um espaço fechado, geralmente uma sala			5905
show off	to be pretentious about one's status or abilities	ser pretensioso sobre o status ou habilidades de alguém	He likes to show off his dancing skills.	Ele gosta de mostrar suas habilidades de dança.	5906
show off	to be pretentious about one's status or abilities	ser pretensioso sobre o status ou habilidades de alguém	She always shows off her luxurious lifestyle.	Ela sempre mostra seu estilo de vida luxuoso.	5907
show off	to be pretentious about one's status or abilities	ser pretensioso sobre o status ou habilidades de alguém	Truly intelligent people never show off.	Pessoas verdadeiramente inteligentes nunca se mostram.	5908
show off	act extra special for people watching (usually boastfully)	agir de forma especial para pessoas assistindo ( geralmente com orgulho )	He always shows off on his skateboard	Ele sempre aparece no skate	5909
show off	To display or demonstrate one's skills or possessions	mostrar ou demonstrar as habilidades ou posses de alguém	He loves to show off his new car to everyone.	Ele adora mostrar seu carro novo para todos.	5910
show off	To overly display your skills or what you have.	Exibir excessivamente suas habilidades ou o que você tem.	The children were showing off and irritated me.	As crianças estavam se mostrando e me irritavam.	5911
show off	act extra special for people watching (usually boastfully)		He always shows off on his skateboard	Ele sempre aparece no skate	5912
show off	Behave in a way so as to attract attention.	Se comportar de uma maneira a atrair a atenção.	The children were showing off and irritated me.	As crianças estavam se mostrando e me irritavam.	5913
show off	Display something you are proud of.	Exibir algo que você tenha orgulho.	He wanted to show off his new sound system.	Ele queria mostrar seu novo sistema de som.	5914
show off	Make the qualities of another thing more apparent.	Fazer as qualidades de outra coisa mais aparente.	The shirt really showed off his new tie.	A camisa realmente mostrou seu novo empate.	5915
show off	To overly display your skills or what you have.	Exibir excessivamente suas habilidades ou o que você tem.	The children were showing off and irritated me.	As crianças estavam se mostrando e me irritavam.	5916
show off	Exhibit the best attributes of something	Exibir os melhores atributos de algo			5917
show off	Attract attention to for the purpose of bragging or personal exhibitionism	Atrair a atenção com o propósito de se gabar ou exibicionismo pessoal			5918
show off	Show someone the important parts of something (a building, town etc.)	Mostrar a alguém as partes importantes de algo (um edifício, uma cidade, etc.)			5919
show out	Take someone to out of a room or building.	Tomar alguém para sair de um quarto ou prédio.	Her secretary showed me out after the interview.	Sua secretária me mostrou depois da entrevista.	5920
show over	Take someone around a site.	Levar alguém ao em torno de um local.	He showed us over the scene of the accident.	Ele nos mostrou sobre a cena do acidente.	5921
show round	Take someone to a place to show them certain parts.	Levar alguém para mostrar certos lugares.	The guide showed them round the historic part of the city.	O guia mostrou-lhes a parte histórica da cidade.	5922
show through	When a feeling can be seen despite attempts to conceal it.	Quando um sentimento pode ser notado apesar das tentativas de esconder.	His anger showed through despite his smile.	Sua raiva mostrou, apesar de seu sorriso.	5923
show up	to appear; to be somewhere	aparecer; estar em algum lugar	Will you show up at work tomorrow?	Você vai aparecer no trabalho amanhã?	5924
show up	to appear; to be somewhere	aparecer; estar em algum lugar	Vincent hasn't shown up for school over the past few weeks.	O Vincent não apareceu na escola nas últimas semanas.	5925
show up	to appear; to be somewhere	aparecer; estar em algum lugar	I want him to show up at my birthday party.	Quero que ele apareça na minha festa de aniversário.	5926
show up	To arrive or appear, especially unexpectedly or at a specified time	chegar ou aparecer, especialmente inesperadamente ou em um horário especificado	She showed up at the party wearing a stunning dress.	Ela apareceu na festa usando um vestido deslumbrante.	5927
show up	Attend something or arrive somewhere.	Participar de algo ou chegar em algum lugar.	Very few showed up at the meeting.	Muito poucos apareceram na reunião.	5928
show up	Become clear or apparent.	Tornar-se claro ou aparente.	The downturn in sales showed up in the company's accounts.	A desaceleração nas vendas apareceu nas contas da empresa.	5929
show up	Make someone feel embarrassed or ashamed.	Fazer alguém se sentir embaraçado ou envergonhado.	He showed us up when he arrived drunk and started arguing.	Ele nos mostrou quando chegou bêbado e começou a discutir.	5930
show up	Appear, arrive, or attend, especially suddenly or erratically	Aparecer, chegar ou comparecer, especialmente de forma repentina ou irregular			5931
show up	Make visible or expose faults and deficiencies in, usually by comparison	Tornar visíveis ou expor falhas e deficiências, geralmente por comparação			5932
shower with	Give to someone an abundance of (something)	Dar a alguém uma abundância de (algo)			5933
shrug off	Disregard something, not consider it important or harmful.	Desconsiderar alguma coisa, não considerar importante ou prejudicial.	He shrugged off the criticism and carried on the same way.	Ele deu de ombros da crítica e continuava da mesma maneira.	5934
shut away	Imprison or remove someone's freedom.	Aprisionar ou remover a liberdade de alguém.	Many people have been shut away in psychiatric hospitals for disagreeing with the government.	Muitas pessoas foram fechadas em hospitais psiquiátricos para discordar do governo.	5935
shut down	To close or stop the operation of a business or system	fechar ou parar a operação de um negócio ou sistema	The company decided to shut down its manufacturing plant.	A empresa decidiu encerrar sua fábrica.	5936
shut down	To dismiss or reject an idea, proposal, or argument	descartar ou rejeitar uma ideia, proposta ou argumento	The team leader immediately shut down his suggestion.	O líder da equipe imediatamente encerrou sua sugestão.	5937
shut down	Close a business, shop, etc..	Fechar um negócio, loja, etc.	The shop shut down when the out-of-town supermarket opened.	A loja desligou quando o supermercado fora da cidade se abriu.	5938
shut down	Turn a computer off.	Desligar um computador.	You should close all programs before you shut a computer down.	Você deve fechar todos os programas antes de fechar um computador.	5939
shut down	Close, terminate, or end	Fechar, encerrar ou finalizar			5940
shut down	Turn off or stop	Desligar ou parar			5941
shut in	Prevent someone from leaving.	Impedir que alguém saia.	I shut the cat in until it was time to go to the vet.	fecho o gato até que fosse hora de ir ao veterinário.	5942
shut in	Lock in	Bloquear			5943
shut off	To stop the operation of an electrical or mechanical device.	Interromper a operação de um dispositivo elétrico ou mecânico.	They shut the water off while they did the repairs.	Eles fecham a água enquanto fizeram os reparos.	5944
shut off	Close, prevent access.	Fechar, impedir o acesso.	They shut the water off while they did the repairs.	Eles fecham a água enquanto fizeram os reparos.	5945
shut off	To stop the operation of an electrical or mechanical device.	Interromper a operação de um dispositivo elétrico ou mecânico.	They shut the water off while they did the repairs.	Eles fecham a água enquanto fizeram os reparos.	5946
shut out	Exclude.	Excluir.	You have to shut your feelings out to deal with it.	Você tem que fechar seus sentimentos para lidar com isso.	5947
shut out	Not allow a player or team to score.	Não permitir que um jogador ou equipe marque.	The Dodgers shut out the Giants 3-0.	Os Dodgers fecham os gigantes 3-0.	5948
shut out	Hide from sight	Esconder de vista			5949
shut out of	Exclude someone from an activity, etc.	Excluir alguém de uma atividade, etc.	He's been shut out of the discussions.	Ele foi desligado para fora das discussões.	5950
shut up	To stop talking.	Parar de falar.	He told us to shut up and start working.	Ele nos disse para calar a boca e começar a trabalhar.	5951
shut up	Stop talking or making noise.	Parar de falar ou fazer barulho.	He told us to shut up and start working.	Ele nos disse para calar a boca e começar a trabalhar.	5952
shut up	Close for a period of time.	Fechar por um período de tempo.	They shut the shop up for a fortnight while they were on holiday.	Eles fecham a loja por quinze dias enquanto estavam de férias.	5953
shut up	To stop talking.	Parar de falar.	He told us to shut up and start working.	Ele nos disse para calar a boca e começar a trabalhar.	5954
shut up	Of a person, to stop talking or (of a person or thing) making noise	De uma pessoa, parar de falar ou (de uma pessoa ou coisa) fazer barulho			5955
shut up	I don't believe it!, no way!	Não acredito!, de jeito nenhum!			5956
shut yourself away	Withdraw from company.	Retirar-se da empresa.	She's shut herself away to revise for her exams.	Ela se afasta para revisar por seus exames.	5957
shy away from	Avoid doing something because you lack confidence.	Evitar fazer algo porque você não tenha confiança.	Many learners shy away from using phrasal verbs.	Muitos aprendizes tímidos de usar verbos frasais.	5958
side with	Support someone.	Apoiar alguém.	The lecturer sided with her students and got sacked for her pains.	O palestrante saiu com seus alunos e ficou saqueado por suas dores.	5959
sidle up to	Approach someone discreetly.	Aproximar-se de alguém discretamente.	He sidled up to me and whispered his name.	O palestrante saiu com seus alunos e ficou saqueado por suas dores.	5960
sift through	Examine a lot of things carefully.	Examinar muitas coisas com cuidado.	We had to sift through thousands of files before we found what we were looking for.	Tivemos que peneirar milhares de arquivos antes de encontrarmos o que estávamos procurando.	5961
sign away	Give away legal or property rights.	Dar direitos legais ou de propriedade.	He signed away his rights to compensation when he signed the contract.	Ele assinou seus direitos à compensação quando assinou o contrato.	5962
sign for	Write a signature on behalf on someone.	Escrever uma assinatura em nome de alguém.	My boss was out for the day, so I signed her letters for her.	Meu chefe estava fora para o dia, então eu assinei suas cartas para ela.	5963
sign in	To write your name on a list to indicate the day and time you arrived at a certain place.	Escrever seu nome em uma lista para indicar o dia e a hora em que você chegou a um determinado local.	We signed in and went straight to bed.	Nós entramos e fomos direto para a cama.	5964
sign in	Register in a hotel.	Registrar-se em um hotel.	We signed in and went straight to bed.	Nós entramos e fomos direto para a cama.	5965
sign in	Open a computer program that requires a name and password.	Abrir um programa de computador que requer um nome e senha.	I signed in and started chatting online.	entrei e comecei a conversar online.	5966
sign in	Write your name when entering a place.	Escrever seu nome ao inserir um lugar.	You have to sign in before you can enter the club.	Você tem que fazer login antes de entrar no clube.	5967
sign in	To write your name on a list to indicate the day and time you arrived at a certain place.	Escrever seu nome em uma lista para indicar o dia e a hora em que você chegou a um determinado local.	We signed in and went straight to bed.	Nós entramos e fomos direto para a cama.	5968
sign into	Open a particular computer program that requires a name and password.	Abrir um programa de computador específico que requer um nome e senha.	I sign into msn Messenger automatically when I boot up.	entrei no MSN Messenger automaticamente quando eu inicializo.	5969
sign off	End a message.	Terminar uma mensagem.	I'll sign off now, but will write again next week.	vou assinar agora, mas escreverei novamente na próxima semana.	5970
sign off	Close a claim for unemployment benefit.	Fechar uma reivindicação para o benefício do desemprego.	I signed off when I got my new job.	assinei quando recebi meu novo emprego.	5971
sign off	Stop doing something to leave.	Parar de fazer algo para sair.	I'm signing off now and going home- I'm shattered.	Estou me assinando agora e indo para casa, estou despedaçado.	5972
sign off	Give someone a letter to be away from work.	Dar a alguém uma carta para ficar longe do trabalho.	My doctor signed me off for a month with back problems.	Meu médico me assinou por um mês com problemas nas costas.	5973
sign off	Log off; to stop using a computer, radio, etc., especially to stop talking	Sair; parar de usar um computador, rádio, etc., especialmente parar de falar			5974
sign off	Cease broadcasting a radio or television signal, usually at the end of a broadcasting day	Cessar a transmissão de um sinal de rádio ou televisão, geralmente no final do dia de transmissão			5975
sign off	Give one's official approval to something for which it is needed	Dar aprovação oficial a algo para o qual ela é necessária			5976
sign off on	Give official approval.	Dar aprovação oficial.	The director signed off on the plans to increase sales.	O diretor assinou os planos de aumentar as vendas.	5977
sign on	Open a claim for unemployment benefit.	Abrir uma reclamação para o benefício do desemprego.	I had to sign on when I lost my job.	tive que assinar quando perdi meu trabalho.	5978
sign on	Agree to participate.	Concordar em participar.	I've signed on to help at the village fete.	tive que assinar quando perdi meu trabalho.	5979
sign on	Start broadcasting.	Começar a transmissão.	He signs on the same way every show.	Ele assina da mesma maneira todo show.	5980
sign on	Employ.	Empregar.	We've signed on two new teachers.	Nós assinamos dois novos professores.	5981
sign on with	Sign a document joining or agreeing to something.	Assinar um documento juntando ou concordando com algo.	He's signed on with Manchester United for the next three years.	Nós assinamos dois novos professores.	5982
sign out	To write your name on a list to indicate the day and time of your departure.	Escrever seu nome em uma lista para indicar o dia e a hora da sua partida.	I signed out and then shut the computer down.	Ele controu com o Manchester United pelos próximos três anos.	5983
sign out	Close a computer program that requires a name and password.	Fechar um programa de computador que requer um nome e senha.	I signed out and then shut the computer down.	Ele controu com o Manchester United pelos próximos três anos.	5984
sign out	Sign something to show you have borrowed something.	Assinar algo para mostrar que você tomou emprestado alguma coisa.	Could you sign those books out, please?	Você poderia assinar esses livros, por favor?	5985
sign out	To write your name on a list to indicate the day and time of your departure.	Escrever seu nome em uma lista para indicar o dia e a hora da sua partida.	I signed out and then shut the computer down.	Ele controu com o Manchester United pelos próximos três anos.	5986
sign out	Sign one's name as an indication that one is leaving some location	Assinar o nome como indicação de que está saindo de algum local			5987
sign out of	Close a particular computer program that requires a name and password.	Fechar um programa de computador específico que requer um nome e senha.	I signed out of msn Messenger and shut the computer down.	saí do MSN Messenger e desliguei o computador.	5988
sign up	Give your name to do something.	Dar seu nome para fazer alguma coisa.	I've signed up as a volunteer.	me inscrevi como um voluntário.	5989
sign up	Subscribe.	Se inscrever.	I signed up for their newsletter.	me inscrevi para o seu boletim informativo.	5990
sign up	Add a name to the list of people who are participating in something	Adicionar um nome à lista de pessoas que estão participando de algo			5991
sign up	Add one's own name to the list of people who are participating in something	Adicionar o próprio nome à lista de pessoas que estão participando de algo			5992
sign up	Agree to purchase some good or service	Concordar em comprar algum bem ou serviço			5993
sign with	Make a contract with.	Fazer um contrato com.	She's signed with EMI for the next few years.	Ela assinou com EMI nos próximos anos.	5994
simmer down	Become calmer, make less noise.	Ficar mais calmo, fazer menos ruído.	He told them to simmer down because they were disturbing the class next door.	Ele disse a eles para ferver porque estavam perturbando a aula ao lado.	5995
sing along	To sing when a piece of music is being played or performed by someone else..	Cantar quando uma peça de música está sendo executada por outra pessoa.	I sang along when they played it on the radio.	cantei quando eles jogaram no rádio.	5996
sing along	Sing some music while someone else is singing	Cantar uma música enquanto outra pessoa está cantando			5997
sing out	Reply loudly.	Responder alto.	When you hear your name, sing out!	Quando você ouve seu nome, cante fora!	5998
sing out	Sing loudly.	Cantar alto.	Everyone sang out during the chorus.	Todos cantaram durante o coro.	5999
sing up	Sing louder.	Cantar mais alto.	We can't hear you- sing up.	Não podemos ouvir você cantar.	6000
single out	Select or choose one from a group.	Selecionar ou escolher um item de um grupo.	Many people applied for the job but we will single out the best one.	Muitas pessoas se candidataram para o trabalho, mas vamos soltar o melhor.	6001
sink in	Slowly come to be understood.	Lentamente vem a ser entendido.	The truth finally sank in about her death when it was broadcast on tv.	A verdade finalmente afundou sobre sua morte quando foi transmitida na TV.	6002
sink in	Become clear in one's mind	Tornar-se claro em sua mente			6003
sit about	Sit and do nothing, especially when you should be working.	Sentar-se e não fazer nada, especialmente quando você deve estar trabalhando.	We spent the afternoon sitting about chatting instead of doing any work.	Passamos a tarde sentada em conversar em vez de fazer qualquer trabalho.	6004
sit around	Sit idly, doing nothing.	Sentar-se ociosamente, sem fazer nada.	They just sat around while the others did all the work.	Eles apenas se sentaram enquanto os outros fizeram todo o trabalho.	6005
sit back	Wait for something to happen without making any effort.	Esperar que algo aconteça sem fazer nenhum esforço.	We sat back and waited for them to make the first mistake.	Nós nos sentamos e esperamos que eles cometissem o primeiro erro.	6006
sit back	Relax in a chair.	Relaxar em uma cadeira.	I sat back and enjoyed the show.	sentei de volta e gostei do show.	6007
sit back	Recline while still in a seated position, with one's back on the frame of the seat	Reclinar-se ainda sentado, com as costas apoiadas na estrutura do assento			6008
sit by	Not try to stop something.	Não tentar parar algo.	I can't sit by while they are punished wrongly.	não posso sentar enquanto eles são punidos erroneamente.	6009
sit down	to move from a standing position to a sitting position	mover-se de uma posição em pé para uma posição sentada	You can sit down at the last table.	Você pode sentar-se na última mesa.	6010
sit down	to move from a standing position to a sitting position	mover-se de uma posição em pé para uma posição sentada	She likes to sit down next to him.	Ela gosta de sentar ao lado dele.	6011
sit down	to move from a standing position to a sitting position	mover-se de uma posição em pé para uma posição sentada	Sit down on the bed and rest a while.	Sente-se na cama e descanse um pouco.	6012
sit down	To take a seat or position oneself comfortably	Sentar-se ou posicionar-se confortavelmente	Let's sit down and discuss the details of the project.	Vamos sentar e discutir os detalhes do projeto.	6013
sit down	To change from a standing to a sitting position.	Mudar de uma posição para uma posição sentada.	The nurse sat me down in a chair.	A enfermeira me sentou em uma cadeira.	6014
sit down	Help someone to sit.	Ajudar alguém a se sentar.	The nurse sat me down in a chair.	A enfermeira me sentou em uma cadeira.	6015
sit down	To change from a standing to a sitting position.	Mudar de uma posição para uma posição sentada.	The nurse sat me down in a chair.	A enfermeira me sentou em uma cadeira.	6016
sit down	Assume a low or sunken position	Assumir uma posição baixa ou afundada			6017
sit for	Pose for an artist or photographer.	Posar para um artista ou fotógrafo.	The Queen sat for another official portrait.	A rainha sentou-se para outro retrato oficial.	6018
sit for	Look after children while their parents are out.	Cuidar das crianças enquanto seus pais estão fora.	She sits for her neighbors when they go out.	Ela se senta para os vizinhos quando saem.	6019
sit in	Occupy a building to protest about something.	Ocupar um prédio para protestar.	The students sat in the Library as a protest against the increase in tuition fees.	Os alunos sentavam na biblioteca como protesto contra o aumento das taxas de matrícula.	6020
sit in for	Take on someone's responsibilities while they are absent.	Assumir as responsabilidades de alguém enquanto estiverem ausentes.	Her deputy's sitting in for her while she's away.	Seu deputado está sentado para ela enquanto ela está longe.	6021
sit in on	Attend as an observer.	Participar como observador.	She sat in on the meeting and took notes but said nothing.	Ela sentou-se na reunião e fez anotações, mas não disse nada.	6022
sit on	Be on a committee.	Estar em um comitê.	She's sat on the finance committee from the beginning.	Ela sentou-se no comitê financeiro desde o começo.	6023
sit on	To handle somebody firmly who behaves impertinently, conceitedly.	lidar com alguém com firmeza que se comporta impertinentemente, presunçosamente.	If his girlfriend finds out, she'll get mad and sit on him.	Se sua namorada descobrir, ela ficará brava e sentará nele.	6024
sit on	Hold information back or keep it secret.	Segurar informações ou manter em segredo.	The government have been sitting on the report because it was so critical.	O governo tem estado sentado no relatório porque era tão crítico.	6025
sit on	Block, suppress, restrain	Bloquear, suprimir, restringir			6026
sit on	Restrain (a person)	Restringir (uma pessoa)			6027
sit on	Take no action on	Não tomar nenhuma atitude			6028
sit on	Be a member of	Ser um membro de			6029
sit out	Not take part.	Não participar.	I had to sit the game out because I was ill.	tive que sentar o jogo porque estava doente.	6030
sit out	Decline to participate; particularly, to decline to dance	Recusar-se a participar; particularmente, recusar-se a dançar			6031
sit over	Eat or drink slowly.	Comer ou beber lentamente.	we sat over dinner discussing the plans.	Nós nos sentamos ao jantar discutindo os planos.	6032
sit through	Stay till the end of something dull.	Ficar até o final de algo chato.	I was bored and wanted to leave halfway through, but we sat through the film.	estava entediado e queria sair no meio do caminho, mas nos sentamos pelo filme.	6033
sit through	Unwillingly stay seated until the end of an event	Ficar sentado sem querer até o final de um evento			6034
sit up	Assume a sitting position from a position lying down	Assumir uma posição sentada a partir de uma posição deitada			6035
sit up	Sit erect	Sentar-se ereto			6036
sit up	Show sudden interest or surprise	Mostrar interesse repentino ou surpresa			6037
sit up	Not go to bed (notionally remaining in a sitting position)	Não ir para a cama (idealmente permanecer sentado)			6038
sit with	Reconcile different positions.	Conciliar posições diferentes.	It's hard to see how their new plan sits with the promises they made.	É difícil ver como seu novo plano fica com as promessas que eles fizeram.	6039
size up	Assess a situation or person carefully..	Avaliar uma situação ou pessoa com cuidado.	The doorstaff sized up everyone entering the club.	A porta dobrou todos que entram no clube.	6040
size up	Make something bigger or produce bigger products.	Fazer algo maior ou produzir produtos maiores.	Soft drinks manufacturers have sized up their products in recent years.	Os fabricantes de refrigerantes têm dimensionado pelos seus produtos nos últimos anos.	6041
skin up	Make a cannabis joint.	Fazer uma junta de cannabis.	She skinned up a fat spliff.	Os fabricantes de refrigerantes têm dimensionado pelos seus produtos nos últimos anos.	6042
skin up	Make a cannabis joint.	Fazer uma junta de cannabis.	Who's going to skin up?	Quem vai para a pele?	6043
skip out	Shirk; to avoid attending or to leave early, especially without permission	Fujir; evitar comparecer ou sair mais cedo, especialmente sem permissão			6044
skive off	Avoid doing work or other duty.	Evitar fazer trabalho ou outro dever.	I pretended I was ill and skived off on Monday.	fingi que estava doente e saí da segunda-feira.	6045
slack off	Reduce one's effort, perform with less enthusiasm and energy.	Reduzir o esforço, executar com menos entusiasmo e energia.	Students usually begin the term well, then slack off near the end of the semester.	Os alunos geralmente começam bem o prazo, depois desaparecem perto do final do semestre.	6046
slack off	Do something with less energy and effort than is usual or ncessary	Fazer algo com menos energia e esforço do que o habitual ou necessário			6047
slacken off	Become less busy or intense.	Tornar-se menos ocupado ou intenso.	Work slackens off during the holiday period.	Trabalho afrouxe durante o período de férias.	6048
slag off	Criticise heavily.	Criticar fortemente.	The concert was terrible and all the papers slagged the band off.	O concerto era terrível e todos os papéis escaram a banda.	6049
slant toward	Favour one viewpoint, bias.	Favorecer um ponto de vista, viés.	That travel magazine is totally slanted toward the ultra-rich.	Essa revista de viagens é totalmente inclinada para o ultra-rico.	6050
sleep in	Sleep longer than usual.	Dormir mais do que o habitual.	Let's sleep in tomorrow morning- we won't have another chance for weeks.	Vamos dormir amanhã de manhã - não teremos outra chance há semanas.	6051
sleep in	Sleep late; to go on sleeping past one's customary or planned hour	Dormir tarde; continuar dormindo além da hora habitual ou planejada			6052
sleep in	Sleep longer than wanted	Dormir mais do que queria			6053
sleep off	Sleep in order to recover from excess alcohol, drugs, etc..	Dormir para se recuperar do excesso de álcool, drogas, etc.	She went to bed to sleep off the effects of the tequila.	Ela foi para a cama para dormir os efeitos da tequila.	6054
sleep on	Think about something.	Pensar sobre alguma coisa.	My boss said she'd have to sleep on it when I asked her for a raise.	Meu chefe disse que teria que dormir sobre isso quando pedi a ela um aumento.	6055
sleep on	Postpone (a decision) at least overnight	Adiar (uma decisão) pelo menos durante a noite			6056
sleep on it	Delay making a decision until the following day	Adiar a tomada de decisão até o dia seguinte			6057
sleep over	stay somewhere for the night (informal)	ficar em algum lugar durante a noite	You should sleep over tonight if the weather is too bad to drive home.	Você deve dormir esta noite se o tempo estiver muito ruim para voltar para casa.	6058
sleep over	stay somewhere for the night (informal)		You should sleep over tonight if the weather is too bad to drive home.	Você deve dormir esta noite se o tempo estiver muito ruim para voltar para casa.	6059
sleep over	Spend the night at someone else's house.	Passar a noite na casa de outra pessoa.	The au pair made tea for the friends who were sleeping over.	O Au Pair fez chá para os amigos que dormiam.	6060
sleep over	Sleep at a friend's house 	Dormir na casa de um amigo			6061
sleep through	Not wake up.	Não acordar.	I slept through the storm even though the wind blew some slates off the roof.	dormi através da tempestade, embora o vento soprasse alguns arraste o telhado.	6062
sleep through	sleep continuously for a long time	dormir continuamente por um longo tempo			6063
sleep with	Share a bed or bedroom with	Compartilhar uma cama ou quarto com			6064
slice off	Cut, remove an amount or part of something.	Cortar, remover uma quantidade ou parte de algo.	They cut 10% off the original price.	Eles cortam 10% do preço original.	6065
slice off	Cut something from a larger piece	Cortar algo de um pedaço maior			6066
slice up	Cut completely into pieces or slices.	Cortar completamente em pedaços ou fatias.	I sliced the cake up and handed it round to the people there.	cortei o bolo e entregasse para as pessoas lá.	6067
slide off	Leave a place, a meeting, etc., without being noticed; to slip away, slip off	Sair de um local, de uma reunião, etc., sem ser notado; escapar, escapar			6068
slip away	Lose an opportunity or the chance of winning, succeeding, etc.	Perder uma oportunidade ou a chance de ganhar, suceder, etc.	Their hopes of getting back into the game slipped away after the second goal.	Suas esperanças de voltar ao jogo escorregaram depois do segundo gol.	6069
slip away	Pass quickly (time).	Passar o tempo rapidamente.	The year has slipped away and it is hard to believe it's over.	O ano escapou e é difícil acreditar acabar.	6070
slip by	Pass quickly (time).	Passar o tempo rapidamente.	The years slip by as you get older.	Os anos escorregam enquanto você envelhece.	6071
slip by	Lose an opportunity or the chance of winning, succeeding, etc.	Perder uma oportunidade ou a chance de ganhar, suceder, etc.	He didn't follow the offer up and let it slip by.	Ele não seguiu a oferta e deixou escorregar.	6072
slip down	Be enjoyable to drink or eat.	Ser agradável para beber ou comer.	The cold beer slipped down a treat after the walk.	A cerveja gelada escorregou um deleite depois da caminhada.	6073
slip in	Try to include something discreetly when speaking.	Tentar incluir algo discretamente ao falar.	He slipped in a mention of his exam results to remind us how well he did.	Ele escorregou em uma menção de seus resultados de exames para nos lembrar o quão bem ele fez.	6074
slip into	Put clothes on quickly.	Colocar roupas rapidamente.	I got out of my suit and slipped into my pyjamas.	saí do meu terno e escorregesse em meus pijamas.	6075
slip into	Acquire bad habits or fall into a bad or negative state or condition.	Adquirir maus hábitos ou cair em um estado ou condição ruim ou negativo.	The economy slipped into recession and shows no signs of recovery.	A economia escorregou em recessão e não mostra sinais de recuperação.	6076
